127.0.0.1 - - [11/Jan/2022:09:43:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:43:30 +0900] "GET /day04/aTag01.html HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:43 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:44 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:44 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:44 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:44 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:44 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:44 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:44 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:44 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:45 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:45 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:45 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:45 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:45 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:45 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:46 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:47 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:47 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:47 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:47 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:48 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:48 +0900] "GET /day04/aTag01.html HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:48 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2022:09:44:49 +0900] "GET /day04/aTag01.html HTTP/1.1" 304 -
